mass_kev,limit,s2_roi_min,s2_roi_max,n_observed,n_expected_signal_mean,n_expected_signal_sigma,n_expected_background_mean,n_expected_background_sigma
0.9671562264654402,1.518750872180367e-16,881.6139388840766,1576.9434856932858,1,3.0641599609746377,0.49085693828139365,1.9439014304070934,0.3817893535898657
1.0,1.5816313977021218e-16,897.2864408405845,1576.9434856932858,1,3.1596905557641435,0.5435889373435919,1.906938080263026,0.3747576183485376
1.0117024966214567,1.674065103359949e-16,913.2375537703806,1576.9434856932858,1,3.2286450704669334,0.5750214066289494,1.8689545260094214,0.3674919179095234
1.0583005244258363,3.043220418947775e-16,962.812529036979,1722.183462219944,5,9.311460379411459,1.3727071159566042,2.3095199798074164,0.4581255473160454
1.1070448118297616,4.1481909213529404e-16,1322.1768818853316,1783.958423085173,6,10.748979848560872,1.1167753468546235,1.6400353363435627,0.3322050362459089
1.1580342134518862,4.632056853452747e-16,1322.1768818853316,1847.9492604081781,8,13.391421537327405,1.4204281123602014,1.9197877250157427,0.38714466372246714
1.211372137057945,5.854680917771231e-16,1469.621515104036,1914.2354579863927,9,15.394263792070339,1.9502189408212922,1.7670129414292455,0.3558033221930765
1.2671667532742552,5.923283403744524e-16,1469.621515104036,1948.264932382503,9,14.768145648596368,1.5557716380432862,1.9302811472790578,0.3890868996336099
1.325531214960419,6.306425883468284e-16,1469.621515104036,2018.1494670986172,10,16.06580350450848,1.8292129237112842,2.2708595948700245,0.4570953343234689
1.3865838866861173,6.482076652925128e-16,1469.621515104036,2090.5407698170256,10,15.836126466777573,1.8654496039263082,2.637756826213242,0.527932140108984
1.4504485847773785,6.847638311173768e-16,1662.5476463821526,2127.704433933532,7,11.877564134641734,1.3305052143179137,2.1427095085581698,0.42467908113099734
1.5172548284191483,7.3212249794817e-16,1662.5476463821526,2127.704433933532,7,11.896175171328016,1.3450274834069278,2.1427095085581698,0.42467908113099734
1.5871381023233924,7.377284512588703e-16,1662.5476463821526,2283.0841901050153,8,12.616108474778438,1.4511460499247442,2.985290386171629,0.5828628730979818
1.6602401314954411,7.76251747705523e-16,1662.5476463821526,2323.670709734667,8,12.53892195572543,1.5230720677571923,3.2040356976588344,0.6213957679149403
1.7367091686557976,8.469100039158728e-16,1662.5476463821526,2323.670709734667,8,12.81417813532299,1.737855605929211,3.2040356976588344,0.6213957679149403
1.8167002949003186,9.39110714812801e-16,1662.5476463821526,2323.670709734667,8,13.279114448278758,2.1006473385881987,3.2040356976588344,0.6213957679149403
1.900375734208506,1.0505349640996017e-15,1662.5476463821526,2323.670709734667,8,13.788467629896026,2.498097738019312,3.2040356976588344,0.6213957679149403
1.9879051824377418,1.2130180578578698e-15,1692.1028520016253,2323.670709734667,8,14.520399484279082,3.002812341117608,3.08940731012145,0.5983656193811765
2.079466151470681,1.3756914876913556e-15,1692.1028520016253,2323.670709734667,8,15.082616718758326,3.441512780175109,3.08940731012145,0.5983656193811765
2.1752443292137316,1.5966845822634182e-15,1692.1028520016253,2323.670709734667,8,15.888480180094046,4.070331380223606,3.08940731012145,0.5983656193811765
