mass_gev,limit_cm2,s2_roi_min,s2_roi_max,n_observed,n_expected_signal_mean,n_expected_signal_sigma,n_expected_background_mean,n_expected_background_sigma
7.75,9.249264016801183e-45,193.70906508268575,484.27060642044205,11,13.978027274456188,1.7924492371994745,5.96801345849334,0.819945518225543
8.0,8.065553021760697e-45,193.70906508268575,501.6414605809166,11,13.772011942594926,1.726379123321344,6.113852144789707,0.839059546072653
8.2,7.535355976489534e-45,197.15264233073208,519.6354097016551,11,13.854267735863262,1.709824621512442,5.990478743293764,0.8235298077049779
8.5,6.554848768022956e-45,197.15264233073208,538.2748042857424,11,13.682620345912042,1.6453254257198178,6.0944035302521335,0.8351847755994659
8.7,5.990056564890661e-45,197.15264233073208,547.8437465985029,11,13.501463516176855,1.5951295954815747,6.239586166672404,0.8573097936424732
9.0,5.382252265039754e-45,197.15264233073208,557.5827965519259,11,13.461940844205595,1.5502913979467858,6.21079820904279,0.8488449236788792
10.0,4.0340772433757255e-45,197.15264233073208,567.4949781593724,11,13.244413498778929,1.4041125382987691,6.244847576228808,0.851855156192743
12.0,2.848711206905933e-45,197.15264233073208,577.5833691922647,11,13.260338910754218,1.3816250719271197,6.182355605562551,0.838006543749507
14.0,2.220259203625084e-45,200.65743625058573,577.5833691922647,10,12.261920282536193,1.350467456974644,5.911273741597142,0.8082852038916825
16.0,2.0289379371429654e-45,200.65743625058573,577.5833691922647,10,12.362497623292738,1.42894837296791,5.911273741597142,0.8082852038916825
16.7,2.178654602922899e-45,200.65743625058573,587.851102135746,11,13.796178821298842,1.6175551709156626,5.906691062140387,0.8050923624325235
16.8,6.298587018756672e-46,306.28027428603536,1089.206770318928,3,4.631639189212823,0.5201292882109769,3.429760555351589,0.55717162844925
17.0,6.216443511413099e-46,306.28027428603536,1089.206770318928,3,4.634921828269898,0.5226907450772733,3.429760555351589,0.55717162844925
18.0,5.672389986809023e-46,306.28027428603536,1128.2767690076062,3,4.576503443887924,0.5236699377341402,3.500541202109768,0.5658387603793691
19.0,5.427890957992595e-46,311.72503642768623,1148.3342103544805,3,4.581266027931822,0.5314861619781396,3.5101968495579086,0.569273141947638
20.0,5.138138855567598e-46,311.72503642768623,1168.7482139956726,3,4.549927009739072,0.5342635712702579,3.5526005631599,0.5751295603583795
30.0,4.709407410213504e-46,317.2665904206839,1232.1935503843301,3,4.6247716373055034,0.5834827658196224,3.5468552690589936,0.5798288622030017
50.0,6.065141879853252e-46,317.2665904206839,1232.1935503843301,3,4.667764945993992,0.6170306228426198,3.5468552690589936,0.5798288622030017
80.0,8.827457359362333e-46,317.2665904206839,1232.1935503843301,3,4.684611300341846,0.6301759029864542,3.5468552690589936,0.5798288622030017
100.0,1.077552895894927e-45,317.2665904206839,1232.1935503843301,3,4.688996538052085,0.6335977221532675,3.5468552690589936,0.5798288622030017
