mass_gev,limit_cm2,s2_roi_min,s2_roi_max,n_observed,n_expected_signal_mean,n_expected_signal_sigma,n_expected_background_mean,n_expected_background_sigma
7.0,4.1153342953030035e-39,165.30120974988552,275.5516940086626,16,23.02763879816325,2.9708403188432895,3.9898953757323463,0.5919936219785195
7.3,3.615510842683567e-39,165.30120974988552,275.5516940086626,16,22.934699737025507,2.898319584105438,3.9898953757323463,0.5919936219785195
7.6,3.2235239638520465e-39,165.30120974988552,275.5516940086626,16,22.84859247144231,2.831129727763916,3.9898953757323463,0.5919936219785195
7.7,1.3948112949543279e-39,193.70906508268575,459.33563454211895,11,14.105432172993703,1.830062115776619,5.884466297376752,0.8165550139952975
7.8,1.322933842167926e-39,193.70906508268575,467.5012706709754,11,14.075273252075299,1.8138408342694428,5.889682746868452,0.8133135816349253
7.9,1.2555744653870026e-39,193.70906508268575,475.81206778533954,11,14.032881639757042,1.7951007912595731,5.906996025927549,0.8124848972260893
8.0,1.204871665212978e-39,193.70906508268575,475.81206778533954,11,14.008959662483777,1.7764343732109982,5.906996025927549,0.8124848972260893
9.0,8.055608288019894e-40,197.15264233073208,538.2748042857424,11,13.641256553915559,1.6130490873276853,6.0944035302521335,0.8351847755994659
10.0,6.0044231963385645e-40,197.15264233073208,557.5827965519259,11,13.356002593724847,1.467627341869006,6.21079820904279,0.8488449236788792
12.0,4.189386019392729e-40,197.15264233073208,567.4949781593724,11,13.168402965103645,1.3448012037267711,6.244847576228808,0.851855156192743
14.0,3.2169670251801453e-40,200.65743625058573,577.5833691922647,10,12.20656818308925,1.307275984282383,5.911273741597142,0.8082852038916825
17.0,2.836399102575765e-40,200.65743625058573,577.5833691922647,10,12.340855663378242,1.4120610619174985,5.911273741597142,0.8082852038916825
17.35,2.815567378186163e-40,200.65743625058573,577.5833691922647,10,12.355172894061624,1.4232328563800118,5.911273741597142,0.8082852038916825
17.45,2.8102248241180147e-40,200.65743625058573,577.5833691922647,10,12.359196365164674,1.4263723875633285,5.911273741597142,0.8082852038916825
17.55,9.043946584587992e-41,306.28027428603536,1128.2767690076062,3,4.5438902478699035,0.4982217256646076,3.500541202109768,0.5658387603793691
17.65,8.806633145421312e-41,306.28027428603536,1148.3342103544805,3,4.4866766776364475,0.4922821448668454,3.5629756082773723,0.5758521811025108
17.75,8.751493750427853e-41,306.28027428603536,1148.3342103544805,3,4.4881707055933395,0.4934479410759563,3.5629756082773723,0.5758521811025108
17.85,8.697931456356277e-41,306.28027428603536,1148.3342103544805,3,4.489663726441467,0.4946129514339221,3.5629756082773723,0.5758521811025108
17.95,8.504583830808007e-41,306.28027428603536,1168.7482139956726,3,4.449494157034751,0.49048336396319336,3.6054915572113053,0.5818126582465862
18.0,8.479162513419027e-41,306.28027428603536,1168.7482139956726,3,4.450225000322621,0.4910536440108486,3.6054915572113053,0.5818126582465862
19.0,7.883643262105269e-41,306.28027428603536,1189.5251185597012,3,4.41170166685627,0.49561684727731947,3.6609306161104005,0.5904488656691069
20.0,7.608951497012213e-41,311.72503642768623,1210.6713753572515,3,4.437653675235096,0.5068164313319469,3.6482000408658526,0.5895660207061757
30.0,6.617372211024833e-41,311.72503642768623,1232.1935503843301,3,4.491388777239174,0.5800527640283643,3.698523671991759,0.5975271489061248
35.0,6.969135130734695e-41,317.2665904206839,1254.0983263610337,3,4.6225373241600565,0.6159718417386575,3.601878723196064,0.5885313718673295
40.0,7.34864169159424e-41,317.2665904206839,1254.0983263610337,3,4.645168437621239,0.6336309934026532,3.601878723196064,0.5885313718673295
50.0,8.333140865830235e-41,317.2665904206839,1254.0983263610337,3,4.674526862046989,0.6565394937042184,3.601878723196064,0.5885313718673295
80.0,1.1917483265657373e-40,317.2665904206839,1254.0983263610337,3,4.71136732803972,0.685286262061585,3.601878723196064,0.5885313718673295
100.0,1.4479501204574463e-40,317.2665904206839,1254.0983263610337,3,4.721343425893632,0.6930706525786174,3.601878723196064,0.5885313718673295
